l.0,l.1,0,1,2,3,4,5,6
0,0,0.000186,0.000122,0.000080,0.000052,0.000026,0.000011,0.000000
0,1,0.000196,0.000126,0.000081,0.000049,0.000026,0.000011,-0.000000
0,2,0.000170,0.000117,0.000082,0.000056,0.000030,0.000012,0.000000
1,0,0.000196,0.000126,0.000081,0.000049,0.000026,0.000011,-0.000000
1,1,0.000577,0.000268,0.000162,0.000077,0.000039,0.000014,-0.000000
1,2,0.000243,0.000148,0.000098,0.000059,0.000026,0.000009,-0.000000
2,0,0.000170,0.000117,0.000082,0.000056,0.000030,0.000012,0.000000
2,1,0.000243,0.000148,0.000098,0.000059,0.000026,0.000009,-0.000000
2,2,0.000429,0.000333,0.000241,0.000168,0.000081,0.000029,0.000000
