,Split,Fold,0,1,2,3
0,0,0,1.0,0.0,0.0,0.0
1,0,0,0.0,1.0,0.0,0.0
2,0,0,0.0,0.0,1.0,0.0
3,0,0,0.0,0.0,0.0,1.0
4,1,0,1.0,0.0,0.0,0.0
5,1,0,0.0,1.0,0.0,0.0
6,1,0,0.0,0.0,1.0,0.0
7,1,0,0.0,0.0,0.0,1.0
8,2,0,1.0,0.0,0.0,0.0
9,2,0,0.0,1.0,0.0,0.0
10,2,0,0.0,0.0,1.0,0.0
11,2,0,0.0,0.0,0.0,1.0
12,3,0,1.0,0.0,0.0,0.0
13,3,0,0.0,1.0,0.0,0.0
14,3,0,0.0,0.0,1.0,0.0
15,3,0,0.0,0.0,0.0,1.0
16,4,0,1.0,0.0,0.0,0.0
17,4,0,0.0,1.0,0.0,0.0
18,4,0,0.0,0.0,1.0,0.0
19,4,0,0.0,0.0,0.0,1.0
20,5,0,1.0,0.0,0.0,0.0
21,5,0,0.0,1.0,0.0,0.0
22,5,0,0.0,0.0,1.0,0.0
23,5,0,0.0,0.0,0.0,1.0
24,6,0,1.0,0.0,0.0,0.0
25,6,0,0.0,1.0,0.0,0.0
26,6,0,0.0,0.0,1.0,0.0
27,6,0,0.0,0.0,0.0,1.0
28,7,0,1.0,0.0,0.0,0.0
29,7,0,0.0,1.0,0.0,0.0
30,7,0,0.0,0.0,1.0,0.0
31,7,0,0.0,0.0,0.0,1.0
